provider,object_type,current_schema,current_relation,current_column,current_data_type,new_schema,new_relation,new_column,new_data_type,change_type,notes
postgres,view,public,AdminDashboardData,,,public,admin_dashboard_data,,,rename_relation,relation_not_lowercase
postgres,view_column,public,AdminDashboardData,MonitorState,character varying,public,admin_dashboard_data,monitor_state,character varying,rename_column,column_not_lowercase
postgres,view_column,public,AdminDashboardData,nr,integer,public,admin_dashboard_data,row_count,integer,rename_column,
postgres,table,public,AirQErrorMessages,,,public,air_q_error_message,,,rename_relation,relation_not_lowercase
postgres,table_column,public,AirQErrorMessages,Error,character varying,public,air_q_error_message,error,character varying,rename_column,column_not_lowercase
postgres,table_column,public,AirQErrorMessages,ErrorTime,timestamp without time zone,public,air_q_error_message,error_time,timestamp without time zone,rename_column,column_not_lowercase
postgres,table_column,public,AirQErrorMessages,Tag,character varying,public,air_q_error_message,tag,character varying,rename_column,column_not_lowercase
postgres,table,public,AirQMonitorStatus,,,public,air_q_monitor_status,,,rename_relation,relation_not_lowercase
postgres,table_column,public,AirQMonitorStatus,BatteryVoltage,character varying,public,air_q_monitor_status,battery_voltage,character varying,rename_column,column_not_lowercase
postgres,table_column,public,AirQMonitorStatus,CalibrationDate,timestamp without time zone,public,air_q_monitor_status,calibration_date,timestamp without time zone,rename_column,column_not_lowercase
postgres,table_column,public,AirQMonitorStatus,ErrorCount,integer,public,air_q_monitor_status,error_count,integer,rename_column,column_not_lowercase
postgres,table_column,public,AirQMonitorStatus,FilterChangeDate,timestamp without time zone,public,air_q_monitor_status,filter_change_date,timestamp without time zone,rename_column,column_not_lowercase
postgres,table_column,public,AirQMonitorStatus,PumpHours,character varying,public,air_q_monitor_status,pump_hours,character varying,rename_column,column_not_lowercase
postgres,table_column,public,AirQMonitorStatus,SerialId,character varying,public,air_q_monitor_status,id,character varying,rename_column,column_not_lowercase;single_column_pk
postgres,table_column,public,AirQMonitorStatus,Status,character varying,public,air_q_monitor_status,status,character varying,rename_column,column_not_lowercase
postgres,table_column,public,AirQMonitorStatus,UpdateTime,timestamp without time zone,public,air_q_monitor_status,update_time,timestamp without time zone,rename_column,column_not_lowercase
postgres,table,public,AirQNoise8HourAverage,,,public,air_q_noise_8_hour_average,,,rename_relation,relation_not_lowercase
postgres,table_column,public,AirQNoise8HourAverage,LA10,double precision,public,air_q_noise_8_hour_average,la_10,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoise8HourAverage,LA90,double precision,public,air_q_noise_8_hour_average,la_90,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoise8HourAverage,LAeq,double precision,public,air_q_noise_8_hour_average,laeq,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoise8HourAverage,LAmax,double precision,public,air_q_noise_8_hour_average,lamax,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoise8HourAverage,LC10,double precision,public,air_q_noise_8_hour_average,lc_10,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoise8HourAverage,LC90,double precision,public,air_q_noise_8_hour_average,lc_90,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoise8HourAverage,LCeq,double precision,public,air_q_noise_8_hour_average,lceq,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoise8HourAverage,LCmax,double precision,public,air_q_noise_8_hour_average,lcmax,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoise8HourAverage,NumberOfSamples,integer,public,air_q_noise_8_hour_average,number_of_samples,integer,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoise8HourAverage,SampleTime,timestamp without time zone,public,air_q_noise_8_hour_average,sample_time,timestamp without time zone,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoise8HourAverage,SerialId,character varying,public,air_q_noise_8_hour_average,serial_id,character varying,rename_column,column_not_lowercase
postgres,table,public,AirQNoiseLevels,,,public,air_q_noise_level,,,rename_relation,relation_not_lowercase
postgres,table_column,public,AirQNoiseLevels,LA10,double precision,public,air_q_noise_level,la_10,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoiseLevels,LA90,double precision,public,air_q_noise_level,la_90,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoiseLevels,LAeq,double precision,public,air_q_noise_level,laeq,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoiseLevels,LAmax,double precision,public,air_q_noise_level,lamax,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoiseLevels,LC10,double precision,public,air_q_noise_level,lc_10,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoiseLevels,LC90,double precision,public,air_q_noise_level,lc_90,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoiseLevels,LCeq,double precision,public,air_q_noise_level,lceq,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoiseLevels,LCmax,double precision,public,air_q_noise_level,lcmax,double precision,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoiseLevels,SampleTime,timestamp without time zone,public,air_q_noise_level,sample_time,timestamp without time zone,rename_column,column_not_lowercase
postgres,table_column,public,AirQNoiseLevels,SerialId,character varying,public,air_q_noise_level,serial_id,character varying,rename_column,column_not_lowercase
postgres,table,public,AspNetRoleClaims,,,public,AspNetRoleClaims,,,no_change,relation_not_lowercase;identity_excluded
postgres,table_column,public,AspNetRoleClaims,ClaimType,text,public,AspNetRoleClaims,ClaimType,text,no_change,column_not_lowercase;identity_excluded
postgres,table_column,public,AspNetRoleClaims,ClaimValue,text,public,AspNetRoleClaims,ClaimValue,text,no_change,column_not_lowercase;identity_excluded
postgres,table_column,public,AspNetRoleClaims,Id,integer,public,AspNetRoleClaims,Id,integer,no_change,column_not_lowercase;single_column_pk;identity_excluded
postgres,table_column,public,AspNetRoleClaims,RoleId,character varying,public,AspNetRoleClaims,RoleId,character varying,no_change,column_not_lowercase;fk_to_asp_net_role;identity_excluded
postgres,table,public,AspNetRoles,,,public,AspNetRoles,,,no_change,relation_not_lowercase;identity_excluded
postgres,table_column,public,AspNetRoles,ConcurrencyStamp,text,public,AspNetRoles,ConcurrencyStamp,text,no_change,column_not_lowercase;identity_excluded
